country;pop;density;medianage;urbanpop;quarantine;schools;publicplace;hospibed;smokers;sex0;sex14;sex25;sex54;sex64;sex65plus;sexratio;lung;femalelung;malelung;gdp2019;healthexp;healthperpop;fertility;avgtemp;avghumidity
Central African Republic;37,742,154;8.0;18.0;43.0;;;;1.0;6.6;1.03;1.01;1.01;1.0;0.84;0.64;0.98;41.66;35.93;48.9;2,321;32;0.8478583390000001;4.3;40.15;33.9
Chad;16,302,699;13.0;16.6;23.3;;;;0.4;6.8;1.04;1.03;0.95;0.83;0.79;0.71;0.93;22.93;19.66;26.79;11,026;36;2.208;5.8;;
Chile;19,116,201;26.0;35.0;85.0;;;;2.2;38.0;1.04;1.04;1.04;1.0;0.89;0.72;0.97;14.84;12.24;18.58;294,237;1,903;99.54906835;1.8;25.86666667;36.43333333
China;1,439,323,776;153.0;38.0;61.0;;1/26/2020;1/26/2020;4.2;24.7;1.15;1.17;1.14;1.04;1.02;0.92;1.06;63.1;56.35;70.52;14,140,163;762;0.52941528;1.6;9.9;39.03333333
Colombia;50,882,891;46.0;31.0;80.0;3/25/2020;;;1.5;11.1;1.06;1.05;1.04;0.98;0.88;0.72;0.98;36.3;31.33;42.49;327,895;853;16.76398458;2.0;21.1;79.7
Congo (Brazzaville);5,518,087;16.0;19.0;70.0;;;;1.6;;1.03;1.02;1.01;1.0;0.89;0.73;1.0;29.04;24.91;34.09;48,994;34;6.161555626;4.39;33.08333333;69.26666667
Congo (Kinshasa);89,561,403;40.0;17.0;46.0;;;;1.6;;1.03;1.02;1.0;1.01;0.99;0.78;1.01;29.06;24.88;34.05;11,576;203;2.266601384;4.59;;
Costa Rica;5,094,118;100.0;33.0;80.0;;;;1.2;13.4;1.05;1.05;1.04;1.01;0.95;0.86;1.01;20.42;17.65;23.65;61,021;1,286;252.4480195;1.89;;
Cote d'Ivoire;26,378,274;83.0;19.0;51.0;;;;0.4;;1.03;1.02;1.02;1.05;1.01;0.93;1.02;34.56;29.51;38.83;44,439;190;7.202897354;3.38;38.05;53.93333333
Croatia;4,105,267;73.0;44.0;58.0;;;;5.6;36.45;1.06;1.06;1.05;1.0;0.96;0.69;0.93;21.75;14.54;32.7;60,702;1,656;403.38423789999996;1.4;11.88333333;66.6
Cuba;11,326,616;106.0;42.0;78.0;;;;5.2;35.25;1.06;1.06;1.08;1.01;0.94;0.81;0.99;23.3;20.53;26.67;100,023;131;11.56567858;1.71;27.4;77.0
Cyprus;1,207,359;131.0;37.0;67.0;;;;3.4;;1.05;1.06;1.19;1.11;0.92;0.77;1.04;17.85;11.34;26.04;24,280;2,137;1769.978937;1.47;15.41666667;71.11666667
Czechia;10,708,981;139.0;43.0;74.0;3/17/2020;3/13/2020;3/13/2020;6.5;;1.06;1.06;1.06;1.05;0.94;0.7;0.97;19.68;13.1;28.54;246,953;2,470;230.64752850000002;1.45;7.8833333329999995;72.53333333
Denmark;5,792,202;137.0;42.0;88.0;3/16/2020;3/16/2020;;2.5;17.0;1.06;1.05;1.04;0.99;0.99;0.81;0.97;31.99;31.31;32.85;347,176;5,083;877.5591734999999;1.73;6.233333332999999;81.68333333
Diamond Princess;3,500;25.0;62.0;100.0;;;;13.4;;;;;;;;;;;;;;;;;
Djibouti;988,000;43.0;27.0;79.0;;;;2.2;13.3;1.03;1.01;0.89;0.71;0.85;0.82;0.84;18.41;12.95;25.16;3,166;147;148.7854251;2.31;27.28333333;70.66666667
Dominica;71986;96.0;33.5;74.0;;;;3.8;3.7;1.05;1.05;1.06;1.03;1.15;0.79;1.02;;;;593;586;8140.471758;1.9;;
Dominican Republic;10,847,910;225.0;28.0;85.0;;;;1.6;14.1;1.04;1.04;1.04;1.05;1.01;0.86;1.03;11.43;9.5;13.57;89,475;873;80.47633139;2.29;;
Ecuador;17,643,054;71.0;28.0;63.0;;;;1.5;8.65;1.05;1.04;1.03;0.95;0.96;0.91;0.99;24.07;18.85;30.17;107,914;980;55.54593893;2.19;19.26666667;73.25
Egypt;102,334,404;103.0;25.0;43.0;;;;1.6;25.1;1.05;1.07;1.06;1.03;0.98;0.82;1.05;22.61;19.19;27.17;302,256;495;4.837082941999999;3.47;21.25;52.08333333
El Salvador;6,486,205;313.0;27.6;73.4;3/12/2020;;;1.3;6.7;1.05;1.05;1.01;0.86;0.8;0.8;0.93;13.86;12.35;15.84;26,871;578;89.11220043;2.05;;
Equatorial Guinea;1,402,985;50.0;22.0;73.0;;;;2.1;;1.03;1.03;1.04;1.0;0.76;0.72;0.99;41.24;32.0;50.58;12,142;790;563.0851363;4.39;28.66666667;78.6
Eritrea;3,546,421;35.0;19.2;63.3;;;;0.7;;1.03;1.01;0.99;0.97;0.74;0.75;0.97;27.14;19.48;38.19;2,110;56;15.79056745;4.1;;
Estonia;1,326,535;31.0;42.0;68.0;;;;5.0;33.05;1.05;1.05;1.08;1.01;0.81;0.51;0.88;8.8;3.59;18.36;31,038;1,887;1422.5029869999998;1.6;3.233333333;82.4
Eswatini;1,160,164;67.0;21.0;30.0;;;;0.8;34.1;1.03;1.02;1.02;1.08;0.66;0.64;1.0;53.05;39.63;71.93;4,657;629;542.1647284;2.69;27.45;78.73333333
Ethiopia;114,963,588;115.0;19.0;21.0;;;;0.3;4.7;1.03;1.01;0.99;0.99;0.95;0.82;0.99;18.56;13.55;24.28;91,166;66;0.574094817;4.99;22.55;56.41666667
Fiji;896,445;49.0;27.9;59.1;;;;2.3;25.55;1.05;1.05;1.04;1.05;1.03;0.85;1.03;15.86;8.67;24.21;5,708;331;369.236261;2.79;;
Finland;5,540,720;18.0;43.0;86.0;;;;4.4;20.85;1.05;1.05;1.04;1.04;0.97;0.76;0.97;9.92;5.47;15.97;269,654;3,996;721.2059082999999;1.75;2.8;81.25
France;65,273,511;119.0;42.0;82.0;3/17/2020;3/16/2020;;6.5;27.7;1.05;1.05;1.05;1.01;0.93;0.75;0.96;13.15;9.64;17.69;2,707,074;4,542;69.58412272;2.07;11.26666667;72.95
Gabon;2,225,734;9.0;23.0;87.0;;;;6.3;;1.03;1.01;1.0;1.0;0.93;0.75;0.99;26.53;19.5;35.62;16,877;481;216.1084838;4.39;29.5;77.43333333
Gambia;2,416,668;239.0;18.0;59.0;;;;1.1;;1.03;1.01;0.98;0.96;0.93;0.88;0.98;29.2;24.19;34.04;1,773;114;47.17238777;3.52;29.45;47.86666667
Georgia;3,989,167;57.0;38.0;58.0;;;;2.6;31.7;1.08;1.11;1.11;0.95;0.81;0.64;0.92;23.26;15.96;34.46;15,925;718;179.987451;1.76;9.983333333;58.98333333
Germany;83,783,942;240.0;46.0;76.0;3/21/2020;3/13/2020;;8.3;30.35;1.06;1.05;1.04;1.02;0.98;0.78;0.97;20.01;16.32;24.67;3,863,344;5,357;63.93826636;1.45;8.516666667;74.21666667
Ghana;31,072,940;137.0;22.0;57.0;;;;0.9;6.75;1.03;1.01;0.99;0.94;0.95;0.86;0.97;21.09;17.95;25.11;67,077;249;8.013403302;4.0;31.43333333;71.58333333
Greece;10,423,054;81.0;46.0;85.0;;;;4.3;42.65;1.06;1.06;1.05;0.99;0.96;0.78;0.95;20.62;18.3;23.49;214,012;2,204;211.45433959999997;1.43;14.93333333;66.36666667
Grenada;112,523;331.0;32.0;35.5;;;;3.7;;1.1;1.08;0.99;1.05;1.05;0.85;1.03;21.74;17.07;24.84;1,238;677;6016.5477280000005;2.07;-9.883333333;73.61666667
Guatemala;17,915,568;167.0;23.0;52.0;;;;0.6;;1.05;1.04;1.01;0.91;0.91;0.87;0.97;21.2;18.54;24.42;81,318;444;24.78291506;2.77;27.13333333;72.95
Guernsey;70,000;965.0;44.0;86.0;;;;1.8;;1.05;1.07;1.04;1.02;0.99;0.83;0.99;;;;13,368;;69.58412272;1.56;9.983333333;78.61666667
Guinea;13,132,795;53.0;18.0;39.0;;;;4.024199963;;1.03;1.02;1.02;1.01;0.92;0.79;1.0;25.37;24.24;26.7;4,121;57;4.34027943;4.77;28.66666667;78.6
Guinea-Bissau;1,968,001;70.0;18.8;44.9;;;;1.0;;1.03;1.0;0.98;0.99;0.62;0.6;0.96;26.93;24.56;29.26;1,458;100;50.81298231;4.51;;
Guyana;786,552;4.0;27.0;27.0;;;;1.6;;1.05;1.04;1.05;1.09;0.82;0.71;1.02;25.7;19.99;32.36;4,725;336;427.18091110000006;2.0;31.0;77.88333333
Haiti;11,402,528;414.0;24.0;56.9;;;;0.7;12.3;1.01;0.99;1.0;0.99;0.91;0.81;0.98;25.53;20.86;31.37;8,819;120;10.52398205;2.96;;
Holy See;801;2003.0;40.0;100.0;;;;5.0;;;;;;;;;;;;21,198;;55.42340054;0.2;;
Honduras;9,904,607;89.0;24.0;57.0;;;;0.7;17.7;1.05;1.04;1.04;1.02;0.88;0.77;1.01;21.39;22.03;20.76;24,449;353;35.63998047;2.67;28.48333333;69.05
Hungary;9,660,351;107.0;43.0;72.0;;;;7.0;28.4;1.06;1.06;1.07;1.01;0.85;0.6;0.91;27.68;19.86;39.93;170,407;1,912;197.922415;1.45;9.766666667;64.73333333
Iceland;341,243;3.0;37.0;94.0;;;;3.2;16.05;1.05;1.05;1.03;1.02;1.01;0.88;1.01;19.71;20.44;18.65;23,918;4,116;12061.78588;2.0;0.7;74.73333333
India;1,380,004,385;464.0;28.0;35.0;3/25/2020;;;0.7;11.15;1.12;1.13;1.13;1.06;1.01;0.9;1.08;96.92;87.54;106.89;2,935,570;238;0.17246322;2.43;26.53333333;44.3
Indonesia;273,523,615;151.0;30.0;56.0;;;;1.2;39.9;1.05;1.04;1.04;1.04;0.84;0.77;1.0;36.26;23.54;51.83;1,111,713;369;1.3490608480000001;2.11;32.91666667;62.03333333
Iran;83,992,949;52.0;32.0;76.0;3/13/2020;3/5/2020;;1.5;11.1;1.05;1.05;1.05;1.04;0.97;0.86;1.03;18.84;16.47;20.99;458,500;1,262;15.02507074;1.97;11.91666667;44.28333333
Iraq;40,222,493;93.0;21.0;73.0;;;;1.4;;1.05;1.04;1.04;1.02;0.91;0.8;1.02;8.56;0.69;18.37;224,462;481;11.95848303;4.0;20.3;41.76666667
Ireland;4,937,786;72.0;38.0;63.0;3/28/2020;3/13/2020;;2.8;22.15;1.06;1.05;1.03;1.01;1.0;0.86;1.0;24.92;23.02;27.25;384,940;5,335;1080.443745;1.97;8.3;80.08333333
Israel;8,655,535;400.0;30.0;93.0;3/19/2020;3/12/2020;3/15/2020;3.1;30.25;1.05;1.05;1.05;1.05;0.96;0.81;1.01;16.1;12.81;20.23;387,717;2,819;325.6875514;2.64;13.76666667;73.61666667
Italy;60,461,826;206.0;47.0;69.0;3/19/2020;3/4/2020;3/9/2020;3.4;24.0;1.06;1.04;1.0;0.98;0.94;0.75;0.93;17.0;12.78;22.78;1,988,636;3,351;55.42340054;1.44;15.78333333;64.78333333
Jamaica;2,961,167;273.0;31.0;55.0;;;;1.7;17.9;1.05;1.04;1.01;0.98;0.93;0.81;0.98;15.74;6.33;26.44;15,702;511;172.5670994;1.96;28.48333333;74.26666667
Japan;126,476,461;347.0;48.0;92.0;;3/2/2020;2/25/2020;13.4;22.15;1.06;1.06;1.11;0.98;1.0;0.77;0.94;12.17;5.8;20.85;5,154,475;4,405;34.82861526;1.41;13.26666667;51.0
Jersey;106,800;819.0;38.0;98.0;;;;6.5;23.4;1.06;1.07;1.06;1.0;0.96;0.74;0.97;;;;56,600;;61.05823481;1.66;9.9;79.15
Jordan;10,203,134;115.0;24.0;91.0;;;;1.4;40.45;1.06;1.05;1.05;1.0;0.95;0.89;1.02;14.54;7.52;22.09;44,172;568;55.66916988;3.19;13.58333333;70.25
Kazakhstan;18,776,707;7.0;31.0;58.0;;;;6.7;26.6;0.94;0.98;1.04;0.95;0.78;0.53;0.92;114.28;79.27;174.88;170,326;903;48.09149975;2.25;-4.816666667;89.13333333
Kenya;53,771,296;94.0;20.0;28.0;;3/15/2020;;1.4;13.35;1.02;1.01;1.0;1.02;0.84;0.77;1.0;19.15;14.92;24.16;98,607;157;2.919773405;2.98;26.13333333;71.4
Korea, South;51,269,185;527.0;44.0;82.0;;2/23/2020;;11.5;27.0;1.05;1.06;1.12;1.06;0.98;0.71;1.0;10.48;6.6;16.23;1,629,532;2,556;49.85450812;1.26;5.9;63.48333333
Kosovo;1,810,463;159.0;29.0;65.0;;;;6.7;;1.08;1.08;1.1;1.12;1.01;0.72;1.06;;;;7,996;177;97.76504684;2.4;9.216666667;74.68333333
Kuwait;4,270,571;240.0;37.0;92.0;;;;2.0;;1.05;1.08;1.22;1.72;1.31;0.89;1.41;10.99;7.44;13.43;137,591;2,978;697.330638;2.4;19.93333333;49.78333333
Kyrgyzstan;6,524,195;34.0;26.0;36.0;;;;4.5;27.0;1.07;1.05;1.03;0.96;0.77;0.62;0.96;39.59;26.73;58.83;8,261;287;43.99010146;2.61;7.3;65.6
Laos;7,275,560;32.0;24.4;35.7;;;;1.5;32.85;1.04;1.02;0.99;0.97;0.96;0.83;0.99;36.62;32.75;41.74;19,127;166;22.81611312;2.7;;
Latvia;1,886,198;30.0;44.0;69.0;;;;5.8;36.6;1.05;1.05;1.07;0.98;0.79;0.48;0.86;8.06;2.76;17.68;35,045;1,429;757.6086922000001;1.51;4.833333333;78.66666667
Lebanon;6,825,445;667.0;30.0;78.0;;;;2.9;38.2;1.05;1.05;1.05;1.02;0.88;0.79;1.0;17.28;13.86;20.78;58,565;1,117;163.6523333;1.72;15.98333333;66.01666667
Liberia;5,057,681;53.0;19.0;53.0;;;;0.8;15.0;1.03;1.02;0.97;0.99;0.93;0.97;0.99;17.35;16.33;18.7;3,221;128;25.30804137;5.06;30.28333333;79.83333333
Libya;6,847,352;4.0;28.8;78.2;;;;3.7;;1.05;1.05;1.06;1.1;1.04;1.01;1.07;22.09;14.89;30.45;33,018;;;2.25;;
Liechtenstein;38,128;109.0;41.0;15.0;;;;8.2;;1.26;1.17;0.99;1.0;0.95;0.84;0.99;;;;6,295;94;2465.379773;1.69;5.8833333329999995;78.96666667
Lithuania;2,722,289;43.0;45.0;71.0;;;;7.3;30.15;1.06;1.05;1.07;0.97;0.79;0.51;0.86;11.5;4.13;25.02;53,641;1,875;688.7586144999999;1.59;4.416666667;80.9
Luxembourg;625,978;242.0;40.0;88.0;;;;4.8;23.6;1.06;1.06;1.05;1.05;1.03;0.79;1.01;20.52;17.2;24.91;69,453;6,382;10195.24648;1.62;8.0;84.18333333
Madagascar;27,691,018;48.0;19.6;38.5;;;;0.2;;1.03;1.02;1.01;1.0;0.95;0.83;1.0;34.22;27.91;41.65;12,550;77;2.780685058;4.11;;
Malaysia;32,365,999;99.0;30.0;78.0;3/18/2020;;;1.9;22.2;1.07;1.06;1.03;1.02;1.03;0.9;1.03;23.73;12.95;34.24;365,303;1,064;32.874004600000006;2.5;33.86666667;72.68333333
Maldives;540,544;1802.0;30.0;35.0;;;;4.3;;1.05;1.04;1.37;1.34;1.0;0.89;1.23;26.7;26.61;26.89;5,786;1,514;2800.8820739999996;1.73;28.28333333;75.06666667
Mali;20,250,833;17.0;16.3;44.0;;3/17/2020;;0.1;20.0;1.03;1.01;0.91;0.87;1.0;1.0;0.95;44.55;34.83;56.55;17,647;118;5.826920799;5.92;;
Malta;441,543;1380.0;43.0;93.0;;;;4.7;24.95;1.06;1.05;1.06;1.05;0.98;0.81;0.99;12.05;6.66;19.15;14,859;3,471;7861.069023999999;1.55;15.6;73.1
Mauritania;4,649,658;5.0;20.0;57.0;;;;0.4;23.85;1.03;1.01;0.96;0.86;0.82;0.74;0.93;19.71;16.5;24.08;5,651;177;38.06731592;3.86;30.88333333;30.8
Mauritius;1,271,768;626.0;37.0;41.0;;;;3.4;21.7;1.05;1.04;1.02;1.0;0.9;0.68;0.97;30.56;17.36;48.62;14,391;1,099;864.1513232000001;1.75;28.2;79.25
Mexico;128,932,753;66.0;29.0;84.0;;;;1.5;13.7;1.05;1.05;1.03;0.93;0.85;0.82;0.96;27.85;23.43;33.14;1,274,175;1,009;7.8257849660000005;2.24;26.93333333;42.4
Moldova;4,033,963;123.0;38.0;43.0;;;;5.8;25.55;1.06;1.06;1.07;1.01;0.85;0.62;0.95;17.13;9.21;29.88;11,688;515;127.66601969999999;1.57;10.5;64.61666667
Monaco;39,242;26337.0;54.0;100.0;;;;13.8;;1.04;1.06;1.06;1.0;0.99;0.81;0.95;;;;6,075;3,407;86820.24362000001;1.53;14.05;62.23333333
Mongolia;3,278,290;2.0;28.0;67.0;;;;7.0;26.5;1.05;1.04;1.02;0.94;0.85;0.69;0.96;13.4;9.3;18.76;13,637;470;143.3674263;2.09;-9.333333332999999;82.3
Montenegro;628,066;47.0;39.0;68.0;;;;4.0;;1.06;0.97;0.83;1.17;1.0;0.66;0.99;17.6;10.7;26.47;5,424;957;1523.725214;1.7;12.48333333;67.78333333
Morocco;36,910,560;83.0;30.0;64.0;;;;1.1;23.4;1.05;1.03;0.99;0.94;0.99;0.82;0.97;10.39;7.51;13.73;119,040;435;11.785245199999999;2.11;18.96666667;72.31666667
Mozambique;31,255,435;40.0;17.6;38.3;;;;0.7;18.65;1.02;1.01;0.97;0.88;0.92;0.85;0.96;17.81;14.6;22.13;15,093;64;2.0476438740000003;4.89;;
Namibia;2,540,905;3.0;22.0;55.0;;;;2.7;25.15;1.03;1.02;0.99;0.91;0.82;0.75;0.96;43.86;29.39;65.58;14,368;942;370.7340495;3.29;27.25;49.68333333
Nepal;29,136,808;203.0;25.0;21.0;;;;0.3;24.1;1.04;1.07;1.0;0.82;0.95;0.86;0.95;100.75;94.59;107.64;29,813;151;5.182448263;2.12;18.85;66.63333333
Netherlands;17,134,872;508.0;43.0;92.0;;3/15/2020;3/15/2020;4.7;25.05;1.05;1.05;1.04;1.01;0.99;0.82;0.98;26.0;22.74;30.36;902,355;5,313;310.0694303;1.78;8.983333333;78.13333333
New Zealand;4,822,233;18.0;38.0;87.0;3/23/2020;;;2.8;;1.05;1.05;1.06;1.0;0.95;0.86;0.99;21.88;19.66;24.61;204,671;3,530;732.0260137;2.02;18.7;79.25
Nicaragua;6,624,554;55.0;26.5;57.2;;;;0.9;;1.05;1.04;1.01;0.9;0.86;0.81;0.95;22.37;18.46;27.37;12,528;406;61.28714476;2.42;;
Niger;24,206,644;19.0;15.2;16.5;;;;0.3;9.4;1.03;1.02;0.98;1.0;1.08;1.04;1.01;24.86;21.83;28.33;9,443;68;2.809146117;6.95;;
Nigeria;206,139,589;226.0;18.0;52.0;3/30/2020;;;0.3;9.25;1.06;1.05;1.04;1.05;0.95;0.91;1.04;21.14;19.65;22.75;446,543;215;1.042982578;5.07;39.86666667;18.21666667
North Macedonia;2,083,374;83.0;39.0;59.0;;;;4.4;;1.08;1.07;1.07;1.03;0.96;0.75;0.99;22.14;15.16;30.89;12,672;857;411.35197039999997;1.6;9.833333332999999;68.45
Norway;5,421,241;15.0;40.0;83.0;;3/12/2020;3/12/2020;3.9;22.25;1.06;1.05;1.05;1.06;1.02;0.84;1.02;26.13;23.51;29.49;417,627;6,222;1147.707693;1.85;2.383333333;79.36666667
Oman;5,106,626;16.0;31.0;87.0;;;;1.6;11.0;1.05;1.05;1.1;1.38;1.14;0.99;1.19;10.87;9.06;12.54;76,609;1,636;320.3680865;2.82;24.4;55.96666667
Pakistan;220,892,340;287.0;23.0;35.0;;;;0.6;22.45;1.05;1.06;1.06;1.08;1.01;0.88;1.06;50.61;35.5;64.92;284,214;134;0.606630361;2.62;20.85;53.01666667
Panama;4,314,767;58.0;30.0;68.0;;;;2.3;6.6;1.05;1.04;1.04;1.03;0.98;0.85;1.01;24.25;19.96;29.06;68,536;1,543;357.6091131;2.3;31.5;77.85
Paraguay;7,132,538;18.0;26.0;62.0;;3/10/2020;;1.3;18.1;1.05;1.04;1.01;1.0;1.04;0.88;1.01;19.1;12.7;26.11;40,714;724;101.5066446;1.9;36.93333333;50.95
Peru;32,971,854;26.0;31.0;79.0;3/15/2020;;;1.6;;1.05;1.04;1.0;0.92;0.94;0.9;0.97;17.69;14.94;20.96;228,989;671;20.35069062;2.12;25.86666667;74.85
Philippines;109,581,078;368.0;26.0;47.0;;;;1.0;25.75;1.05;1.04;1.04;1.03;0.84;0.72;1.01;44.52;27.04;67.56;356,814;323;2.947589181;3.02;30.9;65.88333333
Poland;37,846,611;124.0;42.0;60.0;;3/12/2020;3/12/2020;6.5;28.05;1.06;1.06;1.05;1.02;0.9;0.64;0.94;16.16;9.98;25.9;565,854;1,704;45.02384639;1.35;7.05;70.78333333
Portugal;10,196,709;111.0;46.0;66.0;;3/19/2020;3/19/2020;3.4;22.6;1.07;1.09;1.13;1.03;0.88;0.69;0.96;13.35;9.14;19.18;236,408;2,661;260.966553;1.53;17.28333333;75.61666667
Qatar;2,881,053;248.0;32.0;96.0;;;;1.2;;1.02;1.03;2.64;4.91;3.38;1.71;3.41;7.87;5.37;9.21;191,849;3,900;1353.67173;1.9;22.91666667;56.98333333
Republic of the Congo;5,518,087;16.0;17.0;46.0;;;;0.8;;1.03;1.01;1.0;1.0;0.89;0.73;1.0;34.27;33.07;35.86;8723;203;36.78811153;4.59;;
Romania;19,237,691;84.0;43.0;55.0;;;;6.3;29.8;1.06;1.06;1.05;1.02;0.88;0.68;0.95;18.8;10.65;30.05;243,698;1,090;56.65960639;1.35;11.56666667;62.1
Russia;145,934,462;9.0;40.0;74.0;3/30/2020;;;8.2;40.9;1.06;1.06;1.05;0.96;0.75;0.45;0.86;14.51;5.9;30.85;1,637,892;1,414;9.689280932;1.61;2.016666667;85.46666667
